source_token,source_lemma,target_rendering,block_id
anāsavāpi,an+āsava+api-NOM.PL.M,without-āsava-also,1-0b-19
Āsavagocchakaṃ,āsava+goccaka-NOM.SG.N,āsava-group,1-0b-19
saṃyojanā,saṃyojanā,fetter,1-0b-20
dhammā,dhamma-NOM.PL.M,states,1-0b-20
no,na-PARTICLE,not,1-0b-20
saṃyojanā,saṃyojanā,fetter,1-0b-20
dhammā,dhamma-NOM.PL.M,states,1-0b-20
saṃyojaniyā,saṃyojaniyā,fetter-conducive,1-0b-21
dhammā,dhamma-NOM.PL.M,states,1-0b-21
asaṃyojaniyā,asaṃyojaniyā,fetter-unconducive,1-0b-21
dhammā,dhamma-NOM.PL.M,states,1-0b-21
saṃyojanasampayuttā,saṃyojanasampayuttā,fetter-associated,1-0b-22
dhammā,dhamma-NOM.PL.M,states,1-0b-22
saṃyojanavippayuttā,saṃyojanavippayuttā,fetter-dissociated,1-0b-22
dhammā,dhamma-NOM.PL.M,states,1-0b-22
saṃyojanā,saṃyojanā,fetter,1-0b-23
ceva,ca+eva-PARTICLE,and-indeed,1-0b-23
dhammā,dhamma-NOM.PL.M,states,1-0b-23
saṃyojaniyā,saṃyojaniyā,fetter-conducive,1-0b-23
ca,ca-PARTICLE,and,1-0b-23
saṃyojaniyā,saṃyojaniyā,fetter-conducive,1-0b-23
ceva,ca+eva-PARTICLE,and-indeed,1-0b-23
dhammā,dhamma-NOM.PL.M,states,1-0b-23
no,na-PARTICLE,not,1-0b-23
ca,ca-PARTICLE,and,1-0b-23
saṃyojanā,saṃyojanā,fetter,1-0b-23
saṃyojanā,saṃyojanā,fetter,1-0b-24
ceva,ca+eva-PARTICLE,and-indeed,1-0b-24
dhammā,dhamma-NOM.PL.M,states,1-0b-24
saṃyojanasampayuttā,saṃyojanasampayuttā,fetter-associated,1-0b-24
ca,ca-PARTICLE,and,1-0b-24
saṃyojanasampayuttā,saṃyojanasampayuttā,fetter-associated,1-0b-24
ceva,ca+eva-PARTICLE,and-indeed,1-0b-24
dhammā,dhamma-NOM.PL.M,states,1-0b-24
no,na-PARTICLE,not,1-0b-24
ca,ca-PARTICLE,and,1-0b-24
saṃyojanā,saṃyojanā,fetter,1-0b-24
saṃyojanavippayuttā,saṃyojanavippayuttā,fetter-dissociated,1-0b-25
kho,kho-PARTICLE,indeed,1-0b-25
pana,pana-PARTICLE,however,1-0b-25
dhammā,dhamma-NOM.PL.M,states,1-0b-25
saṃyojaniyāpi,saṃyojaniyāpi,fetter-conducive-also,1-0b-25
asaṃyojaniyāpi,asaṃyojaniyāpi,fetter-unconducive-also,1-0b-25
Saṃyojanagocchakaṃ,Saṃyojanagocchakaṃ,fetter-group,1-0b-25
ganthā,gantha-NOM.PL.M,tie,1-0b-26
dhammā,dhamma-NOM.PL.M,states,1-0b-26
no,na-PARTICLE,not,1-0b-26
ganthā,gantha-NOM.PL.M,tie,1-0b-26
dhammā,dhamma-NOM.PL.M,states,1-0b-26
ganthaniyā,ganthaniya-NOM.PL.M,tie-conducive,1-0b-27
dhammā,dhamma-NOM.PL.M,states,1-0b-27
aganthaniyā,a+ganthaniya-NOM.PL.M,tie-unconducive,1-0b-27
dhammā,dhamma-NOM.PL.M,states,1-0b-27
ganthasampayuttā,gantha+sampayutta-NOM.PL.M,tie-associated,1-0b-28
dhammā,dhamma-NOM.PL.M,states,1-0b-28
ganthavippayuttā,gantha+vippayutta-NOM.PL.M,tie-dissociated,1-0b-28
dhammā,dhamma-NOM.PL.M,states,1-0b-28
ganthā,gantha-NOM.PL.M,tie,1-0b-29
ceva,ca+eva-PARTICLE,and-indeed,1-0b-29
dhammā,dhamma-NOM.PL.M,states,1-0b-29
ganthaniyā,ganthaniya-NOM.PL.M,tie-conducive,1-0b-29
ca,ca-PARTICLE,and,1-0b-29
ganthaniyā,ganthaniya-NOM.PL.M,tie-conducive,1-0b-29
ceva,ca+eva-PARTICLE,and-indeed,1-0b-29
dhammā,dhamma-NOM.PL.M,states,1-0b-29
no,na-PARTICLE,not,1-0b-29
ca,ca-PARTICLE,and,1-0b-29
ganthā,gantha-NOM.PL.M,tie,1-0b-29
ganthā,gantha-NOM.PL.M,tie,1-0b-30
ceva,ca+eva-PARTICLE,and-indeed,1-0b-30
dhammā,dhamma-NOM.PL.M,states,1-0b-30
ganthasampayuttā,gantha+sampayutta-NOM.PL.M,tie-associated,1-0b-30
ca,ca-PARTICLE,and,1-0b-30
ganthasampayuttā,gantha+sampayutta-NOM.PL.M,tie-associated,1-0b-30
ceva,ca+eva-PARTICLE,and-indeed,1-0b-30
dhammā,dhamma-NOM.PL.M,states,1-0b-30
no,na-PARTICLE,not,1-0b-30
ca,ca-PARTICLE,and,1-0b-30
ganthā,gantha-NOM.PL.M,tie,1-0b-30
ganthavippayuttā,gantha+vippayutta-NOM.PL.M,tie-dissociated,1-0b-31
kho,kho-PARTICLE,indeed,1-0b-31
pana,pana-PARTICLE,however,1-0b-31
dhammā,dhamma-NOM.PL.M,states,1-0b-31
ganthaniyāpi,ganthaniya+api-NOM.PL.M,tie-conducive-also,1-0b-31
aganthaniyāpi,a+ganthaniya+api-NOM.PL.M,tie-unconducive-also,1-0b-31
Ganthagocchakaṃ,gantha+goccaka-NOM.SG.N,tie-group,1-0b-31
parāmāsā,parāmāsa-NOM.PL.M,perversion,1-0b-50
dhammā,dhamma-NOM.PL.M,states,1-0b-50
no,na-PARTICLE,not,1-0b-50
parāmāsā,parāmāsa-NOM.PL.M,perversion,1-0b-50
dhammā,dhamma-NOM.PL.M,states,1-0b-50
parāmaṭṭhā,parāmatta-NOM.PL.M,perverted,1-0b-51
dhammā,dhamma-NOM.PL.M,states,1-0b-51
aparāmaṭṭhā,a+parāmatta-NOM.PL.M,unperverted,1-0b-51
dhammā,dhamma-NOM.PL.M,states,1-0b-51
parāmāsasampayuttā,parāmāsa+sampayutta-NOM.PL.M,perversion-associated,1-0b-52
dhammā,dhamma-NOM.PL.M,states,1-0b-52
parāmāsavippayuttā,parāmāsa+vippayutta-NOM.PL.M,perversion-dissociated,1-0b-52
dhammā,dhamma-NOM.PL.M,states,1-0b-52
parāmāsā,parāmāsa-NOM.PL.M,perversion,1-0b-53
ceva,ca+eva-PARTICLE,and-indeed,1-0b-53
dhammā,dhamma-NOM.PL.M,states,1-0b-53
parāmaṭṭhā,parāmatta-NOM.PL.M,perverted,1-0b-53
ca,ca-PARTICLE,and,1-0b-53
parāmaṭṭhā,parāmatta-NOM.PL.M,perverted,1-0b-53
ceva,ca+eva-PARTICLE,and-indeed,1-0b-53
dhammā,dhamma-NOM.PL.M,states,1-0b-53
no,na-PARTICLE,not,1-0b-53
ca,ca-PARTICLE,and,1-0b-53
parāmāsā,parāmāsa-NOM.PL.M,perversion,1-0b-53
parāmāsavippayuttā,parāmāsa+vippayutta-NOM.PL.M,perversion-dissociated,1-0b-54
kho,kho-PARTICLE,indeed,1-0b-54
pana,pana-PARTICLE,however,1-0b-54
dhammā,dhamma-NOM.PL.M,states,1-0b-54
parāmaṭṭhāpi,parāmatta+api-NOM.PL.M,perverted-also,1-0b-54
aparāmaṭṭhāpi,a+parāmatta+api-NOM.PL.M,unperverted-also,1-0b-54
Parāmāsagocchakaṃ,parāmāsa+goccaka-NOM.SG.N,perversion-group,1-0b-54
sārammaṇā,sārammaṇā,with-object,1-0b-55
dhammā,dhamma-NOM.PL.M,states,1-0b-55
anārammaṇā,anārammaṇā,without-object,1-0b-55
dhammā,dhamma-NOM.PL.M,states,1-0b-55
cittā,citta-NOM.PL.M,consciousness,1-0b-56
dhammā,dhamma-NOM.PL.M,states,1-0b-56
no,na-PARTICLE,not,1-0b-56
cittā,citta-NOM.PL.M,consciousness,1-0b-56
dhammā,dhamma-NOM.PL.M,states,1-0b-56
cetasikā,cetasika-NOM.PL.M,mental-property,1-0b-57
dhammā,dhamma-NOM.PL.M,states,1-0b-57
acetasikā,a+cetasika-NOM.PL.M,non-mental-property,1-0b-57
dhammā,dhamma-NOM.PL.M,states,1-0b-57
cittasampayuttā,citta+sampayutta-NOM.PL.M,consciousness-associated,1-0b-58
dhammā,dhamma-NOM.PL.M,states,1-0b-58
cittavippayuttā,citta+vippayutta-NOM.PL.M,consciousness-dissociated,1-0b-58
dhammā,dhamma-NOM.PL.M,states,1-0b-58
cittasaṃsaṭṭhā,cittasaṃsaṭṭhā,consciousness-conjoined,1-0b-59
dhammā,dhamma-NOM.PL.M,states,1-0b-59
cittavisaṃsaṭṭhā,cittavisaṃsaṭṭhā,consciousness-detached,1-0b-59
dhammā,dhamma-NOM.PL.M,states,1-0b-59
cittasamuṭṭhānā,cittasamuṭṭhānā,consciousness-produced,1-0b-60
dhammā,dhamma-NOM.PL.M,states,1-0b-60
no,na-PARTICLE,not,1-0b-60
cittasamuṭṭhānā,cittasamuṭṭhānā,consciousness-produced,1-0b-60
dhammā,dhamma-NOM.PL.M,states,1-0b-60
cittasahabhuno,citta+sahabhu-NOM.PL.M,consciousness-concurrent,1-0b-61
dhammā,dhamma-NOM.PL.M,states,1-0b-61
no,na-PARTICLE,not,1-0b-61
cittasahabhuno,citta+sahabhu-NOM.PL.M,consciousness-concurrent,1-0b-61
dhammā,dhamma-NOM.PL.M,states,1-0b-61
cittānuparivattino,citta+anuparivatti-NOM.PL.M,consciousness-consecutive,1-0b-62
dhammā,dhamma-NOM.PL.M,states,1-0b-62
no,na-PARTICLE,not,1-0b-62
cittānuparivattino,citta+anuparivatti-NOM.PL.M,consciousness-consecutive,1-0b-62
dhammā,dhamma-NOM.PL.M,states,1-0b-62
cittasaṃsaṭṭhasamuṭṭhānā,cittasaṃsaṭṭhasamuṭṭhānā,consciousness-conjoined-produced,1-0b-63
dhammā,dhamma-NOM.PL.M,states,1-0b-63
no,na-PARTICLE,not,1-0b-63
cittasaṃsaṭṭhasamuṭṭhānā,cittasaṃsaṭṭhasamuṭṭhānā,consciousness-conjoined-produced,1-0b-63
dhammā,dhamma-NOM.PL.M,states,1-0b-63
cittasaṃsaṭṭhasamuṭṭhānasahabhuno,cittasaṃsaṭṭhasamuṭṭhānasahabhuno,consciousness-conjoined-produced-concurrent,1-0b-64
dhammā,dhamma-NOM.PL.M,states,1-0b-64
no,na-PARTICLE,not,1-0b-64
cittasaṃsaṭṭhasamuṭṭhānasahabhuno,cittasaṃsaṭṭhasamuṭṭhānasahabhuno,consciousness-conjoined-produced-concurrent,1-0b-64
dhammā,dhamma-NOM.PL.M,states,1-0b-64
cittasaṃsaṭṭhasamuṭṭhānānuparivattino,cittasaṃsaṭṭhasamuṭṭhānānuparivattino,consciousness-conjoined-produced-consecutive,1-0b-65
dhammā,dhamma-NOM.PL.M,states,1-0b-65
no,na-PARTICLE,not,1-0b-65
