source_token,source_lemma,target_rendering,block_id
apacayagāmino,apacayagāmin-NOM.PL.M,අපචයගාමී,1-0a-10
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-10
nevācayagāmināpacayagāmino,neva+ācayagāmin+apācayagāmin-NOM.PL.M,නො-ආචයගාමී-අපචයගාමී,1-0a-10
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-10
sekkhā,sekkha-NOM.PL.M,ශික්‍ෂනීය,1-0a-11
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-11
asekkhā,asekkha-NOM.PL.M,අශික්‍ෂනීය,1-0a-11
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-11
nevasekkhanāsekkhā,neva+sekkha+nāsekkha-NOM.PL.M,නො-ශික්‍ෂනීය-අශික්‍ෂනීය,1-0a-11
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-11
parittā,paritta-NOM.PL.M,පරිමිත,1-0a-12
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-12
mahaggatā,mahaggata-NOM.PL.M,මහත්,1-0a-12
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-12
appamāṇā,appamāṇā,අපරිමේය,1-0a-12
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-12
parittārammaṇā,parittārammaṇā,පරිමිත-ආලම්බන,1-0a-13
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-13
mahaggatārammaṇā,mahaggatārammaṇā,මහත්-ආලම්බන,1-0a-13
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-13
appamāṇārammaṇā,appamāṇārammaṇā,අපරිමේය-ආලම්බන,1-0a-13
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-13
hīnā,hīna-NOM.PL.M,හීන,1-0a-14
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-14
majjhimā,majjhima-NOM.PL.M,මධ්‍යම,1-0a-14
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-14
paṇītā,paṇītā,ප්‍රණීත,1-0a-14
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-14
micchattaniyatā,micchatta+niyata-NOM.PL.M,මිත්‍යත්ව-නියත,1-0a-15
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-15
sammattaniyatā,sammatta+niyata-NOM.PL.M,සම්මත්ව-නියත,1-0a-15
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-15
aniyatā,aniyata-NOM.PL.M,අනියත,1-0a-15
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-15
maggārammaṇā,maggārammaṇā,මාර්ග-ආලම්බන,1-0a-16
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-16
maggahetukā,magga+hetuka-NOM.PL.M,මාර්ග-හේතු,1-0a-16
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-16
maggādhipatino,magga+adhipati-NOM.PL.M,මාර්ග-අධිපති,1-0a-16
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-16
uppannā,uppanna-NOM.PL.M,උපන්න,1-0a-17
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-17
anuppannā,anuppanna-NOM.PL.M,අනුපන්න,1-0a-17
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-17
uppādino,uppādin-NOM.PL.M,උපාදී,1-0a-17
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-17
atītā,atīta-NOM.PL.M,අතීත,1-0a-18
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-18
anāgatā,anāgata-NOM.PL.M,අනාගත,1-0a-18
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-18
paccuppannā,paccuppanna-NOM.PL.M,පච්චුපන්න,1-0a-18
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-18
atītārammaṇā,atītārammaṇā,අතීත-ආලම්බන,1-0a-19
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-19
anāgatārammaṇā,anāgatārammaṇā,අනාගත-ආලම්බන,1-0a-19
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-19
paccuppannārammaṇā,paccuppannārammaṇā,පච්චුපන්න-ආලම්බන,1-0a-19
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-19
ajjhattā,ajjhatta-NOM.PL.M,අධ්‍යාත්ම,1-0a-20
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-20
bahiddhā,bahiddhā-NOM.PL.M,බහිද්ධා,1-0a-20
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-20
ajjhattabahiddhā,ajjhatta+bahiddhā-NOM.PL.M,අධ්‍යාත්ම-බහිද්ධා,1-0a-20
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-20
ajjhattārammaṇā,ajjhattārammaṇā,අධ්‍යාත්ම-ආලම්බන,1-0a-21
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-21
bahiddhārammaṇā,bahiddhārammaṇā,බහිද්ධා-ආලම්බන,1-0a-21
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-21
ajjhattabahiddhārammaṇā,ajjhattabahiddhārammaṇā,අධ්‍යාත්ම-බහිද්ධා-ආලම්බන,1-0a-21
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-21
sanidassanasappaṭighā,sanidassanasappaṭighā,සනිදර්ශන-සප්‍රතිඝ,1-0a-22
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-22
anidassanasappaṭighā,anidassanasappaṭighā,අනිදර්ශන-සප්‍රතිඝ,1-0a-22
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-22
anidassanaappaṭighā,anidassanaappaṭighā,අනිදර්ශන-අප්‍රතිඝ,1-0a-22
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-22
Tikamātikā,tika+mātikā-LABEL,තික-මාතෘකා,1-0a-22
